lessonidx,lessontype,audio1,audio2,audio3,audio4,audio5,audio6,audio7,vocab1,vocab2,vocab3,vocab4,vocab5,vocab6,vocab7,pos1,pos2,pos3,pos4,pos5,pos6,pos7
0,0,p5-1_02,p5-1_03,,,,,,0,,,,,,,0,,,,,,
1,1,p5-1_02,,,,,,,0,,,,,,,0,,,,,,
2,2,,p5-1_03,,,,,,0,,,,,,,0,,,,,,
3,1,p5-1_03,,,,,,,0,,,,,,,0,,,,,,
4,3,p5-1_02,,,,,,,0,,,,,,,0,,,,,,
5,4,p5-1_13,,,,,,,1,,,,,,,3,,,,,,
6,4,p5-1_14,,,,,,,2,,,,,,,3,,,,,,
7,4,p5-1_15,,,,,,,0,,,,,,,3,,,,,,
8,6,p5-1_14,p5-1_13,p5-1_15,,,,,2,1,0,,,,,3,3,3,,,,
9,3,p5-1_02,,,,,,,0,,,,,,,0,,,,,,
10,3,p5-1_21,,,,,,,1,,,,,,,0,,,,,,
11,3,p5-1_22,,,,,,,2,,,,,,,0,,,,,,
12,9,p5-1_22,p5-1_21,p5-1_02,,,,,2,1,0,,,,,0,0,0,,,,
13,0,p5-2_02,p5-2_03,,,,,,43,,,,,,,1,,,,,,
14,1,p5-2_02,,,,,,,43,,,,,,,1,,,,,,
15,2,,p5-2_03,,,,,,43,,,,,,,1,,,,,,
16,1,p5-2_03,,,,,,,43,,,,,,,1,,,,,,
17,3,p5-2_02,,,,,,,43,,,,,,,1,,,,,,
18,4,p5-2_13,,,,,,,4,,,,,,,3,,,,,,
19,4,p5-2_14,,,,,,,5,,,,,,,3,,,,,,
20,4,p5-2_16,,,,,,,43,,,,,,,3,,,,,,
21,6,p5-2_14,p5-2_16,p5-2_13,,,,,5,43,4,,,,,3,3,3,,,,
22,3,p5-2_02,,,,,,,43,,,,,,,1,,,,,,
23,3,p5-2_21,,,,,,,4,,,,,,,1,,,,,,
24,3,p5-2_22,,,,,,,5,,,,,,,1,,,,,,
25,9,p5-2_21,p5-2_22,p5-2_02,,,,,4,5,43,,,,,1,1,1,,,,
26,0,p5-3_02,p5-3_03,,,,,,6,,,,,,,2,,,,,,
27,1,p5-3_02,,,,,,,6,,,,,,,2,,,,,,
28,2,,p5-3_03,,,,,,6,,,,,,,2,,,,,,
29,1,p5-3_03,,,,,,,6,,,,,,,2,,,,,,
30,3,p5-3_02,,,,,,,6,,,,,,,2,,,,,,
31,4,p5-3_13,,,,,,,7,,,,,,,3,,,,,,
32,4,p5-3_15,,,,,,,6,,,,,,,3,,,,,,
33,5,p5-3_13,p5-3_15,,,,,,7,6,,,,,,3,3,,,,,
34,3,p5-3_02,,,,,,,6,,,,,,,2,,,,,,
35,3,p5-3_19,,,,,,,7,,,,,,,2,,,,,,
36,8,p5-3_02,p5-3_19,,,,,,6,7,,,,,,2,2,,,,,
37,0,p6-1_02,p6-1_03,,,,,,1,,,,,,,0,,,,,,
38,1,p6-1_02,,,,,,,1,,,,,,,0,,,,,,
39,2,,p6-1_03,,,,,,1,,,,,,,0,,,,,,
40,1,p6-1_03,,,,,,,2,,,,,,,0,,,,,,
41,3,p6-1_02,,,,,,,1,,,,,,,0,,,,,,
42,4,p6-1_13,,,,,,,8,,,,,,,3,,,,,,
43,4,p6-1_14,,,,,,,9,,,,,,,3,,,,,,
44,4,p6-1_15,,,,,,,10,,,,,,,3,,,,,,
45,6,p6-1_14,p6-1_13,p6-1_15,,,,,9,8,10,,,,,3,3,3,,,,
46,3,p6-1_02,,,,,,,1,,,,,,,0,,,,,,
47,3,p6-1_22,,,,,,,9,,,,,,,0,,,,,,
48,3,p6-1_23,,,,,,,10,,,,,,,0,,,,,,
49,3,p6-1_24,,,,,,,11,,,,,,,1,,,,,,
50,10,p6-1_22,p6-1_23,p6-1_02,p6-1_24,,,,9,10,1,11,,,,0,0,0,1,,,
51,4,p6-2_02,,,,,,,11,,,,,,,3,,,,,,
52,4,p6-2_03,,,,,,,12,,,,,,,3,,,,,,
53,4,p6-2_04,,,,,,,13,,,,,,,3,,,,,,
54,4,p6-2_05,,,,,,,14,,,,,,,3,,,,,,
55,7,p6-2_03,p6-2_04,p6-2_05,p6-2_02,,,,12,13,14,11,,,,3,3,3,3,,,
56,3,p6-2_12,,,,,,,12,,,,,,,1,,,,,,
57,3,p6-2_13,,,,,,,13,,,,,,,1,,,,,,
58,3,p6-2_14,,,,,,,14,,,,,,,2,,,,,,
59,3,p6-2_15,,,,,,,15,,,,,,,2,,,,,,
60,10,p6-2_13,p6-2_15,p6-2_14,p6-2_12,,,,13,15,14,12,,,,1,2,2,1,,,
61,11,p6-2_25,p6-2_12,p6-2_24,p6-2_23,p6-2_22,p6-2_15,,20,21,22,23,24,25,,0,1,1,1,0,2,
62,11,p6-2_24,p6-2_12,p6-2_25,p6-2_23,p6-2_22,p6-2_15,,33,34,35,36,37,38,,1,1,0,1,0,2,
63,0,p8-1_02,p8-1_03,,,,,,1,,,,,,,0,,,,,,
64,1,p8-1_02,,,,,,,1,,,,,,,0,,,,,,
65,2,,p8-1_03,,,,,,1,,,,,,,0,,,,,,
66,1,p8-1_03,,,,,,,1,,,,,,,0,,,,,,
67,3,p8-1_02,,,,,,,1,,,,,,,0,,,,,,
68,4,p8-1_13,,,,,,,28,,,,,,,3,,,,,,
69,3,p8-1_02,,,,,,,1,,,,,,,0,,,,,,
70,3,p8-1_18,,,,,,,28,,,,,,,0,,,,,,
71,8,p8-1_02,p8-1_18,,,,,,1,28,,,,,,0,0,,,,,
72,0,p8-2_02,p8-2_03,,,,,,29,,,,,,,4,,,,,,
73,1,p8-2_02,,,,,,,29,,,,,,,4,,,,,,
74,2,,p8-2_03,,,,,,29,,,,,,,4,,,,,,
75,1,p8-2_03,,,,,,,29,,,,,,,4,,,,,,
76,3,p8-2_02,,,,,,,29,,,,,,,4,,,,,,
77,4,p8-2_13,,,,,,,30,,,,,,,3,,,,,,
78,4,p8-2_15,,,,,,,29,,,,,,,3,,,,,,
79,5,p8-2_13,p8-2_15,,,,,,30,29,,,,,,3,3,,,,,
80,3,p8-2_02,,,,,,,29,,,,,,,4,,,,,,
81,3,p8-2_19,,,,,,,30,,,,,,,1,,,,,,
82,8,p8-2_02,p8-2_19,,,,,,29,30,,,,,,4,1,,,,,
83,3,p8-3_02,,,,,,,19,,,,,,,0,,,,,,
84,3,p8-3_03,,,,,,,20,,,,,,,0,,,,,,
85,3,p8-3_04,,,,,,,17,,,,,,,4,,,,,,
86,3,p8-3_05,,,,,,,18,,,,,,,4,,,,,,
87,10,p8-3_03,p8-3_05,p8-3_02,p8-3_04,,,,20,18,19,17,,,,0,4,0,4,,,
88,12,,,,,,,,10,11,12,13,14,15,16,1,1,0,0,0,1,1
89,0,p9-1_02,p9-1_03,,,,,,4,,,,,,,0,,,,,,
90,1,p9-1_02,,,,,,,4,,,,,,,0,,,,,,
91,2,,p9-1_03,,,,,,4,,,,,,,0,,,,,,
92,1,p9-1_03,,,,,,,4,,,,,,,0,,,,,,
93,3,p9-1_02,,,,,,,4,,,,,,,0,,,,,,
94,4,p9-1_13,,,,,,,31,,,,,,,3,,,,,,
95,4,p9-1_14,,,,,,,32,,,,,,,3,,,,,,
96,4,p9-1_15,,,,,,,33,,,,,,,3,,,,,,
97,6,p9-1_13,p9-1_14,p9-1_15,,,,,31,32,33,,,,,3,3,3,,,,
98,3,p9-1_02,,,,,,,4,,,,,,,0,,,,,,
99,3,p9-1_02,,,,,,,31,,,,,,,0,,,,,,
100,3,p9-1_23,,,,,,,32,,,,,,,1,,,,,,
101,3,p9-1_23,,,,,,,33,,,,,,,4,,,,,,
102,10,p9-1_23,p9-1_02,p9-1_02,p9-1_23,,,,33,4,31,32,,,,4,0,0,4,,,
103,4,p9-2_02,,,,,,,34,,,,,,,3,,,,,,
104,4,p9-2_03,,,,,,,35,,,,,,,3,,,,,,
105,4,p9-2_04,,,,,,,36,,,,,,,3,,,,,,
106,4,p9-2_05,,,,,,,37,,,,,,,3,,,,,,
107,7,p9-2_04,p9-2_02,p9-2_05,p9-2_03,,,,36,34,37,35,,,,3,3,3,3,,,
108,3,p9-2_12,,,,,,,34,,,,,,,2,,,,,,
109,3,p9-2_12,,,,,,,35,,,,,,,2,,,,,,
110,3,p9-2_14,,,,,,,36,,,,,,,0,,,,,,
111,3,p9-2_15,,,,,,,37,,,,,,,4,,,,,,
112,10,p9-2_14,p9-2_15,p9-2_12,p9-2_12,,,,36,37,35,34,,,,0,4,2,2,,,
113,15,p10-1_02,p10-1_03,p10-1_04,p10-1_05,,,,41,,41,,,,,0,,0,,,,
114,1,p10-1_02,,,,,,,35,,,,,,,0,,,,,,
115,2,,p10-1_03,,,,,,35,,,,,,,0,,,,,,
116,1,p10-1_03,,,,,,,35,,,,,,,0,,,,,,
117,16,p10-1_02,,p10-1_04,,,,,35,,35,,,,,0,,0,,,,
118,1,p10-1_04,,,,,,,35,,,,,,,0,,,,,,
119,17,,p10-1_03,,p10-1_05,,,,41,,41,,,,,0,,0,,,,
120,1,p10-1_05,,,,,,,41,,,,,,,0,,,,,,
121,18,p10-1_02,,p10-1_04,,,,,41,,41,,,,,0,,0,,,,
122,4,p10-1_26,,,,,,,38,,,,,,,3,,,,,,
123,4,p10-1_29,,,,,,,41,,,,,,,3,,,,,,
124,5,p10-1_26,p10-1_29,,,,,,38,41,,,,,,3,3,,,,,
125,18,p10-1_02,,p10-1_04,,,,,41,,41,,,,,0,,0,,,,
126,19,p10-1_33,,,,,,,30,,30,,,,,5,,4,,,,
127,19,p10-1_34,,,,,,,38,,38,,,,,2,,2,,,,
128,19,p10-1_35,,,,,,,35,,,,,,,0,,,,,,
129,13,p10-1_33,p10-1_35,p10-1_34,,,,,30,35,38,,,,,1,0,2,,,,
130,15,p10-2_02,p10-2_03,p10-2_04,p10-2_05,,,,39,,39,,,,,5,,4,,,,
131,1,p10-2_02,,,,,,,39,,,,,,,5,,,,,,
132,2,,p10-2_03,,,,,,39,,,,,,,5,,,,,,
133,1,p10-2_03,,,,,,,39,,,,,,,5,,,,,,
134,16,p10-2_02,,p10-2_04,,,,,39,,39,,,,,5,,4,,,,
135,1,p10-2_04,,,,,,,39,,,,,,,0,,,,,,
136,17,,p10-2_03,,p10-2_05,,,,39,,39,,,,,5,,4,,,,
137,1,p10-2_05,,,,,,,39,,,,,,,0,,,,,,
138,18,p10-2_02,,p10-2_04,,,,,39,,39,,,,,5,,4,,,,
139,4,p10-2_26,,,,,,,40,,,,,,,3,,,,,,
140,4,p10-2_27,,,,,,,42,,,,,,,3,,,,,,
141,4,p10-2_29,,,,,,,39,,,,,,,3,,,,,,
142,6,p10-2_26,p10-2_27,p10-2_29,,,,,40,42,39,,,,,3,3,3,,,,
143,18,p10-2_02,,p10-2_04,,,,,39,,,,,,,5,,4,,,,
144,18,p10-2_02,,p10-2_04,,,,,40,,40,,,,,5,,4,,,,
145,18,p10-2_02,,p10-2_04,,,,,42,,,,,,,5,,4,,,,
146,14,p10-2_02,p10-2_04,p10-2_02,p10-2_04,p10-2_02,p10-2_04,,42,,40,,39,,,5,4,5,4,5,4,
147,20,cover_song64kbps,,,,,,,,,,,,,,,,,,,,
