lessonIdx|line|kanji|hiragana|hon|book
0|1|聞いてください|聞いてください|Listen please|Listen please
0|2|これは本ですか。|これはほんですか。|Kore wa hon desu ka.|Is this a book?
0|3|はい、これは本です。|はい、これはほんです。|Hai, kore wa hon desu.|Yes, it is.
0|4||||
0|5||||
1|1|繰り返して下さい。|繰り返して下さい。|Repeat, please|Repeat, please
1|2|これは本ですか。|これはほんですか。|Kore wa hon desu ka.|Is this a book?
1|3||||
1|4||||
1|5||||
2|1|言って下さい。|言って下さい。|Say it, please|Say it, please
2|2|これは本ですか。|これはほんですか。|Kore wa hon desu ka.|Is this a book?
2|3|はい、これは本です。|はい、これはほんです。|Hai, kore wa hon desu.|Yes, it is.
2|4||||
2|5||||
3|1|繰り返して下さい。|繰り返して下さい。|Repeat, please|Repeat, please
3|2|はい、これは本です。|はい、これはほんです。|Hai, kore wa hon desu.|Yes, it is.
3|3||||
3|4||||
3|5||||
4|1|答えてください。|答えてください。|Answer please|Answer please
4|2|これは本ですか。|これはほんですか。|Kore wa hon desu ka.|Is this a book?
4|3|はい、これは本です。|はい、これはほんです。|Hai, kore wa hon desu.|Yes, it is.
4|4||||
4|5||||
5|1|言って下さい。|言って下さい。|Say it, please|Say it, please
5|2|ペン|ペン|pen|pen
5|3||||
5|4||||
5|5||||
6|1|言って下さい。|言って下さい。|Say it, please|Say it, please
6|2|新聞|しんぶん|shinbun|newspaper
6|3||||
6|4||||
6|5||||
7|1|言って下さい。|言って下さい。|Say it, please|Say it, please
7|2|本|ほん|hon|book
7|3||||
7|4||||
7|5||||
8|1|言って下さい。|言って下さい。|Say it, please|Say it, please
8|2||||
8|3||||
8|4||||
8|5||||
9|1|答えてください。|答えてください。|Answer please|Answer please
9|2|これは本ですか。|これはほんですか。|Kore wa hon desu ka.|Is this a book?
9|3|はい、これは本です。|はい、これはほんです。|Hai, kore wa hon desu.|Yes, it is.
9|4||||
9|5||||
10|1|答えてください。|答えてください。|Answer please|Answer please
10|2|これはペンですか。|これはペンですか。|Kore wa pen desu ka.|Is this a pen?
10|3|はい、これはペンです。|はい、これはペンほんです。|Hai, kore wa pen desu.|Yes, it is.
10|4||||
10|5||||
11|1|答えてください。|答えてください。|Answer please|Answer please
11|2|これは新聞ですか。|これはしんぶんですか。|Kore wa shinbun desu ka.|Is this a newspaper?
11|3|はい、これは新聞です。|はい、これはしんぶんほんです。|Hai, kore wa shinbun desu.|Yes, it is.
11|4||||
11|5||||
12|1|答えてください。|答えてください。|Answer please|Answer please
12|2||||
12|3||||
12|4||||
12|5||||
13|1|聞いてください|聞いてください|Listen please|Listen please
13|2|それはコップですか。|それはコップですか。|Sore wa koppu desu ka.|Is that a cup?
13|3|はい、それはコップです。|はい、それはコップです。|Hai, sore wa koppu desu.|Yes, it is.
13|4||||
13|5||||
14|1|繰り返して下さい。|繰り返して下さい。|Repeat, please|Repeat, please
14|2|それはコップですか。|それはコップですか。|Sore wa koppu desu ka.|Is this a cup?
14|3||||
14|4||||
14|5||||
15|1|言って下さい。|言って下さい。|Say it, please|Say it, please
15|2|それはコップですか。|それはコップですか。|Sore wa koppu desu ka.|Is this a cup?
15|3|はい、それはコップです。|はい、それはコップです。|Hai, sore wa koppu desu.|Yes, it is.
15|4||||
15|5||||
16|1|繰り返して下さい。|繰り返して下さい。|Repeat, please|Repeat, please
16|2|はい、それはコップです。|はい、それはコップです。|Hai, sore wa koppu desu.|Yes, it is.
16|3||||
16|4||||
16|5||||
17|1|答えてください。|答えてください。|Answer please|Answer please
17|2|それはコップですか。|それはコップですか。|Sore wa koppu desu ka.|Is this a cup?
17|3|はい、それはコップです。|はい、それはコップです。|Hai, sore wa koppu desu.|Yes, it is.
17|4||||
17|5||||
18|1|言って下さい。|言って下さい。|Say it, please|Say it, please
18|2|時計|とけい|tokei|clock
18|3||||
18|4||||
18|5||||
19|1|言って下さい。|言って下さい。|Say it, please|Say it, please
19|2|タバコ|たばこ|tabako|cigarettes
19|3||||
19|4||||
19|5||||
20|1|言って下さい。|言って下さい。|Say it, please|Say it, please
20|2|コップ|コップ|koppu|cup
20|3||||
20|4||||
20|5||||
21|1|言って下さい。|言って下さい。|Say it, please|Say it, please
21|2||||
21|3||||
21|4||||
21|5||||
22|1|答えてください。|答えてください。|Answer please|Answer please
22|2|それはコップですか。|それはコップですか。|Sore wa koppu desu ka.|Is this a cup?
22|3|はい、それはコップです。|はい、それはコップです。|Hai, sore wa koppu desu.|Yes, it is.
22|4||||
22|5||||
23|1|答えてください。|答えてください。|Answer please|Answer please
23|2|それは時計ですか。|それはとけいですか。|Sore wa tokei desu ka.|Is that a clock?
23|3|はい、それは時計です。|はい、それはとけいです。|Hai, sore wa tokei desu.|Yes, it is.
23|4||||
23|5||||
24|1|答えてください。|答えてください。|Answer please|Answer please
24|2|それはタバコですか。|それはタバコですか。|Sore wa tabako desu ka.|Are those cigarettes?
24|3|はい、それはタバコです。|はい、それはたばこです。|Hai, sore wa tabako desu.|Yes, they are.
24|4||||
24|5||||
25|1|答えてください。|答えてください。|Answer please|Answer please
25|2||||
25|3||||
25|4||||
25|5||||
26|1|聞いてください|聞いてください|Listen please|Listen please
26|2|あれは机ですか。|あれはつくえですか。|Are wa tsukue desu ka.|Is that a desk?
26|3|はい、あれは机です。|はい、あれはつくえです。|Hai, are wa tsukue desu.|Yes, it is.
26|4||||
26|5||||
27|1|繰り返して下さい。|繰り返して下さい。|Repeat, please|Repeat, please
27|2|あれは机ですか。|あれはつくえですか。|Are wa tsukue desu ka.|Is that a desk?
27|3||||
27|4||||
27|5||||
28|1|言って下さい。|言って下さい。|Say it, please|Say it, please
28|2|あれは机ですか。|あはつくえですか。|Are wa tsukue desu ka.|Is that a desk?
28|3|はい、あれは机です。|はい、あはつくえです。|Hai, are wa tsukue desu.|Yes, it is.
28|4||||
28|5||||
29|1|繰り返して下さい。|繰り返して下さい。|Repeat, please|Repeat, please
29|2|はい、あれは机です。|はい、あはつくえです。|Hai, are wa tsukue desu.|Yes, it is.
29|3||||
29|4||||
