timelineIdx,langIdx,line1,line2,line3,
0,0,EN slide 1 line 1,EN slide 1 line 2,EN slide 1 line 3
0,1,JP slide 1 line 1,JP slide 1 line 2,JP slide 1 line 3
0,2,ES slide 1 line 1,ES slide 1 line 2,ES slide 1 line 3
0,3,FR slide 1 line 1,FR slide 1 line 2,FR slide 1 line 3
1,0,EN slide 2 line 1,EN slide 2 line 2,EN slide 2 line 3
1,1,JP slide 2 line 1,JP slide 2 line 2,JP slide 2 line 3
1,2,ES slide 2 line 1,ES slide 2 line 2,ES slide 2 line 3
1,3,FR slide 2 line 1,FR slide 2 line 2,FR slide 2 line 3
2,0,EN slide 3 line 1,EN slide 3 line 2,EN slide 3 line 3
2,1,JP slide 3 line 1,JP slide 3 line 2,JP slide 3 line 3
2,2,ES slide 3 line 1,ES slide 3 line 2,ES slide 3 line 3
2,3,FR slide 3 line 1,FR slide 3 line 2,FR slide 3 line 3
