lessonIdx|line|kanji|hiragana|phon|eng
0|1|聞いてください|聞いてください|Listen please|Listen please
0|2|これは本ですか。|これはほんですか。|Kore wa hon desu ka.|Is this a book?
0|3|はい、これは本です。|はい、これは本ほんです。|Hai, kore wa hon desu.|Yes, it is.
1|1|繰り返して下さい。|繰り返して下さい。|Repeat, please|Repeat, please
1|2|これは本ですか。|これはほんですか。|Kore wa hon desu ka.|Is this a book?
1|3||||
2|1|言って下さい。|言って下さい。|Say it, please|Say it, please
2|2|これは本ですか。|これはほんですか。|Kore wa hon desu ka.|Is this a book?
2|3|はい、これは本です。|はい、これは本ほんです。|Hai, kore wa hon desu.|Yes, it is.
3|1|繰り返して下さい。|繰り返して下さい。|Repeat, please|Repeat, please
3|2|はい、これは本です。|はい、これは本ほんです。|Hai, kore wa hon desu.|Yes, it is.
3|3||||
4|1|答えてください。|答えてください。|Answer please|Answer please
4|2|これは本ですか。|これはほんですか。|Kore wa hon desu ka.|Is this a book?
4|3|はい、これは本です。|はい、これは本ほんです。|Hai, kore wa hon desu.|Yes, it is.
5|1|言って下さい。|言って下さい。|Say it, please|Say it, please
5|2|ペン|ペン|pen|pen
5|3||||
6|1|言って下さい。|言って下さい。|Say it, please|Say it, please
6|2|新聞|しんぶん|shinbun|newspaper
6|3||||
7|1|言って下さい。|言って下さい。|Say it, please|Say it, please
7|2|本|ほん|hon|book
7|3||||
8|1|言って下さい。|言って下さい。|Say it, please|Say it, please
8|2||||
8|3||||
9|1|答えてください。|答えてください。|Answer please|Answer please
9|2|これは本ですか。|これはほんですか。|Kore wa hon desu ka.|Is this a book?
9|3|はい、これは本です。|はい、これは本ほんです。|Hai, kore wa hon desu.|Yes, it is.
10|1|答えてください。|答えてください。|Answer please|Answer please
10|2|これはペンですか。|これはペンですか。|Kore wa pen desu ka.|Is this a pen?
10|3|はい、これはペンです。|はい、これはペンほんです。|Hai, kore wa pen desu.|Yes, it is.
11|1|答えてください。|答えてください。|Answer please|Answer please
11|2|これは新聞ですか。|これはしんぶんですか。|Kore wa shinbun desu ka.|Is this a newspaper?
11|3|はい、これは新聞です。|はい、これはしんぶんほんです。|Hai, kore wa shinbun desu.|Yes, it is.
12|1|答えてください。|答えてください。|Answer please|Answer please
12|2||||
12|3||||
13|1|聞いてください|聞いてください|Listen please|Listen please
13|2|それはコップですか。|それはコップですか。|Sore wa koppu desu ka.|Is that a cup?
13|3|はい、それはコップです。|はい、それはコップです。|Hai, sore wa koppu desu.|Yes, it is.
14|1|繰り返して下さい。|繰り返して下さい。|Repeat, please|Repeat, please
14|2|それはコップですか。|それはコップですか。|Sore wa koppu desu ka.|Is this a cup?
14|3||||
15|1|言って下さい。|言って下さい。|Say it, please|Say it, please
15|2|それはコップですか。|それはコップですか。|Sore wa koppu desu ka.|Is this a cup?
15|3|はい、それはコップです。|はい、それはコップです。|Hai, sore wa koppu desu.|Yes, it is.
16|1|繰り返して下さい。|繰り返して下さい。|Repeat, please|Repeat, please
16|2|はい、それはコップです。|はい、それはコップです。|Hai, sore wa koppu desu.|Yes, it is.
16|3||||
17|1|答えてください。|答えてください。|Answer please|Answer please
17|2|それはコップですか。|それはコップですか。|Sore wa koppu desu ka.|Is this a cup?
17|3|はい、それはコップです。|はい、それはコップです。|Hai, sore wa koppu desu.|Yes, it is.
18|1|言って下さい。|言って下さい。|Say it, please|Say it, please
18|2|時計|とけい|tokei|clock
18|3||||
19|1|言って下さい。|言って下さい。|Say it, please|Say it, please
19|2|タバコ|たばこ|tabako|cigarettes
19|3||||
20|1|言って下さい。|言って下さい。|Say it, please|Say it, please
20|2|コップ|コップ|koppu|cup
20|3||||
21|1|言って下さい。|言って下さい。|Say it, please|Say it, please
21|2||||
21|3||||
22|1|答えてください。|答えてください。|Answer please|Answer please
22|2|それはコップですか。|それはコップですか。|Sore wa koppu desu ka.|Is this a cup?
22|3|はい、それはコップです。|はい、それはコップです。|Hai, sore wa koppu desu.|Yes, it is.
23|1|答えてください。|答えてください。|Answer please|Answer please
23|2|それは時計ですか。|それはとけいですか。|Sore wa tokei desu ka.|Is that a clock?
23|3|はい、それは時計です。|はい、それはとけいです。|Hai, sore wa tokei desu.|Yes, it is.
24|1|答えてください。|答えてください。|Answer please|Answer please
24|2|それはタバコですか。|それはタバコですか。|Sore wa tabako desu ka.|Are those cigarettes?
24|3|はい、それはタバコです。|はい、それはたばこです。|Hai, sore wa tabako desu.|Yes, they are.
25|1|答えてください。|答えてください。|Answer please|Answer please
25|2||||
25|3||||
26|1|聞いてください|聞いてください|Listen please|Listen please
26|2|あれは机ですか。|あれはつくえですか。|Are wa tsukue desu ka.|Is that a desk?
26|3|はい、あれは机です。|はい、あれはつくえです。|Hai, are wa tsukue desu.|Yes, it is.
27|1|繰り返して下さい。|繰り返して下さい。|Repeat, please|Repeat, please
27|2|あれは机ですか。|あれはつくえですか。|Are wa tsukue desu ka.|Is that a desk?
27|3||||
28|1|言って下さい。|言って下さい。|Say it, please|Say it, please
28|2|あれは机ですか。|あはつくえですか。|Are wa tsukue desu ka.|Is that a desk?
28|3|はい、あれは机です。|はい、あはつくえです。|Hai, are wa tsukue desu.|Yes, it is.
29|1|繰り返して下さい。|繰り返して下さい。|Repeat, please|Repeat, please
29|2|はい、あれは机です。|はい、あはつくえです。|Hai, are wa tsukue desu.|Yes, it is.
29|3||||
30|1|答えてください。|答えてください。|Answer please|Answer please
30|2|あれは机ですか。|あれはつくえですか。|Are wa tsukue desu ka.|Is that a desk?
30|3|はい、あれは机です。|はい、これはつくえです。|Hai, are wa tsukue desu.|Yes, it is.
31|1|言って下さい。|言って下さい。|Say it, please|Say it, please
31|2|車|くるま|kuruma|car
31|3||||
32|1|言って下さい。|言って下さい。|Say it, please|Say it, please
32|2|机|つくえ|tsukue|desk
32|3||||
33|1|言って下さい。|言って下さい。|Say it, please|Say it, please
33|2||||
33|3||||
34|1|答えてください。|答えてください。|Answer please|Answer please
34|2|あれは机ですか。|あれはつくえですか。|Are wa tsukue desu ka.|Is that a desk?
