cardIdx,en,ja,es,fr
0,English word 0,Japanese word 0,Spanish word 0,French word 0
1,English word 1,Japanese word 1,Spanish word 1,French word 1
2,English word 2,Japanese word 2,Spanish word 2,French word 2
3,English word 3,Japanese word 3,Spanish word 3,French word 3
4,English word 4,Japanese word 4,Spanish word 4,French word 4
5,English word 5,Japanese word 5,Spanish word 5,French word 5
6,English word 6,Japanese word 6,Spanish word 6,French word 6
7,English word 7,Japanese word 7,Spanish word 7,French word 7
8,English word 8,Japanese word 8,Spanish word 8,French word 8
9,English word 9,Japanese word 9,Spanish word 9,French word 9
10,English word 10,Japanese word 10,Spanish word 10,French word 10
11,English word 11,Japanese word 11,Spanish word 11,French word 11
12,English word 12,Japanese word 12,Spanish word 12,French word 12
13,English word 13,Japanese word 13,Spanish word 13,French word 13
14,English word 14,Japanese word 14,Spanish word 14,French word 14
15,English word 15,Japanese word 15,Spanish word 15,French word 15
16,English word 16,Japanese word 16,Spanish word 16,French word 16
17,English word 17,Japanese word 17,Spanish word 17,French word 17
