card,kanji,hiragana,pron,eng
0,本,ほん,hon,book
1,ペン,ぺん,pen,pen
2,新聞,しんぶん,shinbun,newspaper
3,コップ,コップ,koppu,glass
4,時計,とけい,tokei,clock
5,たばこ,たばこ,tabako,cigarettes
6,机,つくえ,tsukue,desk
7,車,くるま,kuruma,car
8,鉛筆,えんぴつ,enpitsu,pencil
9,辞書,じしょ,jisho,dictionary
10,スプーン,スプーン,supuun,spoon
11,電話,でんわ,denwa,telephone
12,マッチ,マッチ,macchi,match
13,いす,いす,isu,chair
14,自転車,じてんしゃ,jitensha,bicycle
15,ナイフ,ナイフ,naifu,knife
16,切符,きっぷ,kippu,ticket
17,電車,でんしゃ,densha,train
18,カメラ,カメラ,kamera,camera
19,灰皿,はいざら,haizara,ashtray
20,スリッパ,スリッパ,surippa,slippers
21,スカート,スカート,sukaato,skirt
22,帽子,ぼうし,booshi,hat
23,スタンド,スタンド,sutando,desk lamp
24,犬,いぬ,inu,dog
25,猫,ねこ,neko,cat
26,馬,うま,uma,horse
27,牛,うし,ushi,cow
28,かばん,かばん,kaban,bag
29,雑誌,ざっし,zasshi,magazine
30,はし,はし,hashi,chopsticks
31,財布,さいふ,saifu,wallet
32,傘,かさ,kasa,umbrella
33,レコード,レコード,rekoodo,record
34,テレビ,テレビ,terebi,television
35,ズボン,ズボン,zubon,trousers
36,箱,はこ,hako,box
37,バス,バス,basu,bus
38,靴,くつ,kutsu,shoes
39,鍵,かぎ,kagi,key
40,地図,ちず,chizu,map
41,ラジオ,ラジオ,rajio,radio
42,切手,きって,kitte,stamp
